Tanggal;Produk;Qty Laku;Keterangan
02/01/2024;Mochi Bites Mbak Nasya12;15;1
02/01/2024;Pisang Coklat Bu Mud;10;1
02/01/2024;Tahu Mercon Bu Mud;43;1
03/01/2024;Kentang Goreng Ori Bu Poetoe;10;1
03/01/2024;Manisan Mangga Pak Edi;50;1
03/01/2024;Pisang Coklat Bu Mud;10;1
03/01/2024;Risol Bu Poetoe;30;1
03/01/2024;Tahu Mercon Bu Mud;50;1
04/01/2024;Arab Bu Indah;20;1
04/01/2024;Kerupuk Usus Bu Indah;85;1
04/01/2024;Makaroni Besar Bu Indah;15;1
04/01/2024;Mochi Bites Mbak Nasya12;21;1
04/01/2024;Pang-pang Bu Indah;55;1
04/01/2024;Pisang Coklat Bu Mud;9;1
04/01/2024;Ring Bu Indah;120;1
04/01/2024;Risol Bu Poetoe;35;1
04/01/2024;Sakura Bu Indah;75;1
04/01/2024;Tahu Mercon Bu Mud;55;1
05/01/2024;Basreng Pak Eko;38;1
05/01/2024;Basreng Pedas Pak Eko;38;1
05/01/2024;Cikur Pak Eko;143;1
05/01/2024;Kerupuk Bos Pedas Pak Eko;80;1
05/01/2024;Kerupuk Kaca Pak Eko;30;1
05/01/2024;Mochi Bites Mbak Nasya12;18;1
05/01/2024;Pisang Coklat Bu Mud;13;1
05/01/2024;Risol Bu Poetoe;35;1
05/01/2024;Tahu Mercon Bu Mud;55;1
08/01/2024;Krim Ckt II Sari Roti;1;1
08/01/2024;Krim Coklat Vanilla II Sari Roti;1;1
08/01/2024;Krim Keju II Sari Roti;1;1
08/01/2024;Krim Mocca II Sari Roti;1;1
08/01/2024;Manisan Mangga Pak Edi;50;1
08/01/2024;Mochi Bites Mbak Nasya12;30;1
08/01/2024;Pisang Coklat Bu Mud;5;1
08/01/2024;Risol Bu Poetoe;50;1
08/01/2024;Roti Pizza Bu Tanti;15;1
08/01/2024;Sand CKT II Sari Roti;2;1
08/01/2024;Sand Kacang II Sari Roti;1;1
08/01/2024;Sand Keju II Sari Roti;1;1
08/01/2024;Sand Mgr Klsk II Sari Roti;1;1
08/01/2024;Sand Srky Mdn II Sari Roti;1;1
08/01/2024;Tahu Mercon Bu Mud;55;1
09/01/2024;Manisan Mangga Pak Edi;50;1
09/01/2024;Mochi Bites Mbak Nasya12;29;1
09/01/2024;Pisang Coklat Bu Mud;13;1
09/01/2024;Risol Bu Poetoe;50;1
09/01/2024;Roti Pizza Bu Tanti;14;1
09/01/2024;Tahu Mercon Bu Mud;55;1
10/01/2024;Manisan Mangga Pak Edi;40;1
10/01/2024;Mochi Bites Mbak Nasya12;28;1
10/01/2024;Pisang Coklat Bu Mud;10;1
10/01/2024;Risol Bu Poetoe;46;1
10/01/2024;Tahu Mercon Bu Mud;51;1
11/01/2024;Krim Ckt II Sari Roti;2;1
11/01/2024;Krim Coklat Vanilla II Sari Roti;2;1
11/01/2024;Krim Keju II Sari Roti;1;1
11/01/2024;Krim Mocca II Sari Roti;2;1
11/01/2024;Manisan Mangga Pak Edi;40;1
11/01/2024;Mochi Bites Mbak Nasya12;24;1
11/01/2024;Pisang Coklat Bu Mud;7;1
11/01/2024;Risol Bu Poetoe;50;1
11/01/2024;Sand Bluberry II Sari Roti;1;1
11/01/2024;Sand CKT II Sari Roti;5;1
